what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1477065841844
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1477065841880
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477065841880
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1477065841881
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1477065841881
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1477065841882
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1477065841882
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1477065841883
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1477065841898
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1477065841898
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1477065841898
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1477065841899
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1477065841899
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1477065841918
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1477065841918
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1477065841937
os,sysinfo,,,"linux",1477065841941
arch,sysinfo,,,"x86_64",1477065841941
ws,sysinfo,,,"gtk",1477065841941
locale,sysinfo,,,"en_US",1477065841941
processors,sysinfo,,,"4",1477065841941
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477065841941
java.runtime.version,sysinfo,,,"1.8.0_101-b13",1477065841941
java.specification.name,sysinfo,,,"Java Platform API Specification",1477065841941
java.specification.vendor,sysinfo,,,"Oracle Corporation",1477065841941
java.specification.version,sysinfo,,,"1.8",1477065841941
java.vendor,sysinfo,,,"Oracle Corporation",1477065841941
java.version,sysinfo,,,"1.8.0_101",1477065841941
java.vm.info,sysinfo,,,"mixed mode",1477065841941
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1477065841941
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477065841941
